demo,map,round_number,ct_score,t_score,ct_econ,t_econ,ct_equip_val,t_equip_val,start_tick,end_tick,round_end_reason,ct_win
parivision-vs-g2-m1-mirage,de_mirage,0,0,0,4000,4000,1000,1000,577,5866,bomb_defused,1
parivision-vs-g2-m1-mirage,de_mirage,1,1,0,21200,14350,2050,1000,6314,14069,ct_win,1
parivision-vs-g2-m1-mirage,de_mirage,2,2,0,19350,12700,21300,1000,14517,19489,ct_win,1
parivision-vs-g2-m1-mirage,de_mirage,3,3,0,32100,24150,17500,1000,19937,24715,bomb_defused,1
parivision-vs-g2-m1-mirage,de_mirage,4,4,0,43100,21750,14350,1000,25163,35456,bomb_exploded,0
parivision-vs-g2-m1-mirage,de_mirage,5,4,1,36100,19250,5400,16500,35904,49537,bomb_defused,1
parivision-vs-g2-m1-mirage,de_mirage,6,5,1,33750,29250,7650,1000,49985,57999,ct_win,1
parivision-vs-g2-m1-mirage,de_mirage,7,6,1,31550,20200,15850,1000,58447,67087,target_saved,1
parivision-vs-g2-m1-mirage,de_mirage,8,7,1,35350,11100,15550,8400,67535,75984,bomb_exploded,0
parivision-vs-g2-m1-mirage,de_mirage,9,7,2,28000,19000,11550,15100,76432,85193,bomb_defused,1
parivision-vs-g2-m1-mirage,de_mirage,10,8,2,31050,27900,11200,1000,85641,93232,ct_win,1
parivision-vs-g2-m1-mirage,de_mirage,11,9,2,30200,21250,15700,1000,93680,98638,bomb_defused,1
parivision-vs-g2-m1-mirage,de_mirage,12,2,10,4000,4000,1000,1000,102478,106429,ct_win,1
parivision-vs-g2-m1-mirage,de_mirage,13,3,10,19600,10750,3250,1000,106877,114561,ct_win,1
parivision-vs-g2-m1-mirage,de_mirage,14,4,10,19900,22650,9000,1000,115009,122334,bomb_exploded,0
parivision-vs-g2-m1-mirage,de_mirage,15,4,11,10000,19350,11000,19500,122782,131675,ct_win,1
parivision-vs-g2-m1-mirage,de_mirage,16,5,11,20500,23750,13250,1000,132123,142380,t_win,0
parivision-vs-g2-m1-mirage,de_mirage,17,5,12,14150,18800,1000,12700,142828,153654,t_win,0
parivision-vs-g2-m2-dust2,de_dust2,0,0,0,4000,4000,1000,1000,578,8465,ct_win,1
parivision-vs-g2-m2-dust2,de_dust2,1,1,0,19700,11050,1650,1000,8913,16486,ct_win,1
parivision-vs-g2-m2-dust2,de_dust2,2,2,0,19900,18800,15150,1000,16934,26321,bomb_exploded,0
parivision-vs-g2-m2-dust2,de_dust2,3,2,1,17250,18800,10000,12300,26769,34723,t_win,0
parivision-vs-g2-m2-dust2,de_dust2,4,2,2,10800,24550,1000,18850,35171,43327,bomb_exploded,0
parivision-vs-g2-m2-dust2,de_dust2,5,2,3,21800,33450,1500,23450,43775,54102,t_win,0
parivision-vs-g2-m2-dust2,de_dust2,6,2,4,14800,47200,1000,22250,54550,67571,t_win,0
parivision-vs-g2-m2-dust2,de_dust2,7,2,5,27100,59650,1000,4700,68019,73019,t_win,0
parivision-vs-g2-m2-dust2,de_dust2,8,2,6,18800,54650,1000,16050,73467,82428,t_win,0
parivision-vs-g2-m2-dust2,de_dust2,9,2,7,26800,61200,1000,16850,82876,96005,bomb_exploded,0
parivision-vs-g2-m2-dust2,de_dust2,10,2,8,18800,65500,15000,14950,96453,104572,ct_win,1
parivision-vs-g2-m2-dust2,de_dust2,11,3,8,25350,53650,11650,1000,105020,113018,ct_win,1
parivision-vs-g2-m2-dust2,de_dust2,12,8,4,4000,4000,1000,1000,116858,122114,t_win,0
parivision-vs-g2-m2-dust2,de_dust2,13,8,5,11150,18600,1000,2300,122562,129931,bomb_exploded,0
parivision-vs-g2-m2-dust2,de_dust2,14,8,6,23750,19950,1000,11600,130379,140720,bomb_exploded,0
parivision-vs-g2-m2-dust2,de_dust2,15,8,7,15150,27050,8450,16000,141168,153233,bomb_defused,1
parivision-vs-g2-m2-dust2,de_dust2,16,9,7,28550,28750,12600,1000,153681,163887,bomb_defused,1
parivision-vs-g2-m2-dust2,de_dust2,17,10,7,32150,17900,7450,1000,164335,174250,ct_win,1
parivision-vs-g2-m2-dust2,de_dust2,18,11,7,28900,22450,24700,1000,174698,178949,ct_win,1
parivision-vs-g2-m2-dust2,de_dust2,19,12,7,42300,16150,21300,1000,179397,189411,t_win,0
parivision-vs-g2-m2-dust2,de_dust2,20,12,8,41550,18450,1000,1000,189859,196956,bomb_exploded,0
parivision-vs-g2-m2-dust2,de_dust2,21,12,9,23550,19450,6000,14650,197404,205620,bomb_exploded,0
parivision-vs-g2-m2-dust2,de_dust2,22,12,10,15350,26050,6600,10850,206068,217337,t_win,0
parivision-vs-g2-m2-dust2,de_dust2,23,12,11,25000,26850,1000,6750,217785,226077,ct_win,1
parivision-vs-g2-m3-ancient,de_ancient,0,0,0,0,0,0,0,0,576,target_saved,1
parivision-vs-g2-m3-ancient,de_ancient,0,0,0,4000,4000,1000,1000,1026,7144,t_win,0
parivision-vs-g2-m3-ancient,de_ancient,1,0,1,11750,18700,1000,1850,7592,11384,t_win,0
parivision-vs-g2-m3-ancient,de_ancient,2,0,2,23350,18600,1000,18450,11832,20226,bomb_exploded,0
parivision-vs-g2-m3-ancient,de_ancient,3,0,3,16350,35100,12700,11100,20674,26084,bomb_exploded,0
parivision-vs-g2-m3-ancient,de_ancient,4,0,4,19750,44250,9050,19500,26532,34015,ct_win,1
parivision-vs-g2-m3-ancient,de_ancient,5,1,4,21450,45450,13350,1000,34463,42389,ct_win,1
parivision-vs-g2-m3-ancient,de_ancient,6,2,4,25400,31950,5500,1000,42837,50784,ct_win,1
parivision-vs-g2-m3-ancient,de_ancient,7,3,4,22950,18100,14500,1000,51232,56901,bomb_defused,1
parivision-vs-g2-m3-ancient,de_ancient,8,4,4,27500,27300,17150,1000,57349,63971,t_win,0
parivision-vs-g2-m3-ancient,de_ancient,9,4,5,23250,20850,1000,1000,64419,75598,target_saved,1
parivision-vs-g2-m3-ancient,de_ancient,10,5,5,19950,11050,4350,7050,76046,84508,t_win,0
parivision-vs-g2-m3-ancient,de_ancient,11,5,6,11050,18300,1000,15350,84956,89467,t_win,0
parivision-vs-g2-m3-ancient,de_ancient,12,7,5,4000,4000,1000,1000,93307,100824,ct_win,1
parivision-vs-g2-m3-ancient,de_ancient,13,8,5,19450,10650,2250,1000,101272,106054,ct_win,1
parivision-vs-g2-m3-ancient,de_ancient,14,9,5,19400,21100,16200,1000,106502,114603,bomb_exploded,0
parivision-vs-g2-m3-ancient,de_ancient,15,9,6,16650,19000,13500,18800,115051,120971,bomb_exploded,0
parivision-vs-g2-m3-ancient,de_ancient,16,9,7,12750,31300,17600,19800,121419,130493,ct_win,1
parivision-vs-g2-m3-ancient,de_ancient,17,10,7,29700,34300,8600,1000,130941,141762,bomb_exploded,0
parivision-vs-g2-m3-ancient,de_ancient,18,10,8,17250,26150,11500,14350,142210,151269,bomb_defused,1
parivision-vs-g2-m3-ancient,de_ancient,19,11,8,22050,23450,14950,1000,151717,159699,t_win,0
parivision-vs-g2-m3-ancient,de_ancient,20,11,9,17850,19600,1000,3800,160147,169475,t_win,0
parivision-vs-g2-m3-ancient,de_ancient,21,11,10,10300,19250,1000,16300,169923,176272,t_win,0
parivision-vs-g2-m3-ancient,de_ancient,22,11,11,22650,28300,1000,18600,176720,186066,ct_win,1
parivision-vs-g2-m3-ancient,de_ancient,23,12,11,19500,28100,15900,1000,186514,193340,t_win,0
parivision-vs-g2-m3-ancient,de_ancient,24,12,12,50000,50000,1000,1000,193980,204479,ct_win,1
parivision-vs-g2-m3-ancient,de_ancient,25,13,12,41400,33050,17300,1000,204927,213567,target_saved,1
