demo,map,round_number,tick_number,time_remaining,ct_score,t_score,ct_alive,ct_total_hp,ct_money,ct_equip_val,ct_rifle_count,ct_awp_alive,ct_pistol_only,ct_smokes,ct_mollies,ct_flashes,ct_nades,ct_any_blinded,ct_any_scoped,ct_any_defusing,ct_has_kit,ct_in_bombsite_a,ct_in_bombsite_b,t_alive,t_total_hp,t_money,t_equip_val,t_rifle_count,t_awp_alive,t_pistol_only,t_smokes,t_mollies,t_flashes,t_nades,t_any_blinded,t_any_scoped,t_any_planting,t_in_bombsite_a,t_in_bombsite_b,t_bomb_carrier_alive,bomb_planted,bomb_site,time_since_plant,ct_win
parivision-vs-g2-m1-mirage,de_mirage,0,592,82.41,0,0,5,500,4000,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,4000,1000,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,608,82.16,0,0,5,500,4000,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,4000,1000,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,624,81.91,0,0,5,500,4000,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,3700,1000,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,640,81.66,0,0,5,500,4000,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,3300,1000,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,656,81.41,0,0,5,500,4000,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,3300,1000,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,672,81.16,0,0,5,500,4000,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,3300,1000,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,688,80.91,0,0,5,500,3350,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,2650,1000,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,704,80.66,0,0,5,500,3350,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,2650,1000,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,720,80.41,0,0,5,500,2700,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,2650,1000,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,736,80.16,0,0,5,500,2700,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,5,500,2650,1000,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
